Neighborhood,NursingHomeBeds,% of NursingHomeBeds
Acton,0,0.0
Adams-Normandie,90,0.11724551210234231
Agoura Hills,185,0.24100466376592586
Agua Dulce,0,0.0
Alhambra,1105,1.4395143430343138
Alondra Park,0,0.0
Altadena,689,0.8975795315390428
Angeles Crest,0,0.0
Arcadia,839,1.0929887183762799
Arleta,256,0.33349834553555147
Arlington Heights,267,0.34782835257028216
Artesia,569,0.741252182069253
Athens,0,0.0
Atwater Village,0,0.0
Avalon,4,0.005210911648992992
Avocado Heights,38,0.049503660665433415
Azusa,102,0.13287824704932127
Baldwin Hills/Crenshaw,99,0.12897006331257654
Baldwin Park,408,0.5315129881972851
Bel-Air,0,0.0
Bellflower,573,0.746463093718246
Bell Gardens,372,0.48461478335634817
Bell,99,0.12897006331257654
Beverly Crest,0,0.0
Beverly Grove,1228,1.5997498762408484
Beverly Hills,202,0.26315103827414604
Beverlywood,0,0.0
Boyle Heights,741,0.9653213829759516
Bradbury,48,0.06253093978791589
Brentwood,0,0.0
Broadway-Manchester,15,0.019540918683723717
Burbank,883,1.1503087465152029
Calabasas,275,0.35825017586826813
Canoga Park,552,0.7191058075610328
Carson,390,0.5080638857768166
Carthay,0,0.0
Castaic Canyons,99,0.12897006331257654
Castaic,0,0.0
Central-Alameda,0,0.0
Century City,0,0.0
Cerritos,163,0.21234464969646438
Charter Oak,45,0.058622756051171156
Chatsworth,528,0.6878403376670749
Chatsworth Reservoir,0,0.0
Chesterfield Square,0,0.0
Cheviot Hills,258,0.3361038013600479
Chinatown,0,0.0
Citrus,0,0.0
Claremont,1408,1.834240900445533
Commerce,0,0.0
Compton,148,0.19280373101274068
Covina,509,0.6630885073343582
Cudahy,0,0.0
Culver City,775,1.0096141319923921
Cypress Park,0,0.0
Del Aire,0,0.0
Del Rey,0,0.0
Desert View Highlands,0,0.0
Diamond Bar,0,0.0
Downey,1384,1.802975430551575
Downtown,142,0.1849873635392512
Duarte,508,0.6617857794221099
Eagle Rock,297,0.38691018993772963
East Compton,0,0.0
East Hollywood,1319,1.718298116255439
East La Mirada,0,0.0
East Los Angeles,163,0.21234464969646438
East Pasadena,0,0.0
East San Gabriel,133,0.17326281232901697
Echo Park,87,0.11333732836559757
Elizabeth Lake,0,0.0
El Monte,1050,1.3678643078606603
El Segundo,0,0.0
El Sereno,222,0.28920559651911104
Elysian Park,0,0.0
Elysian Valley,0,0.0
Encino,263,0.3426174409212892
Exposition Park,0,0.0
