,month,region,cases
0,3,Acton,0
1,3,Adams-Normandie,5
2,3,Agoura Hills,56
3,3,Alhambra,90
4,3,Alsace,0
5,3,Altadena,81
6,3,Angeles National Forest,0
7,3,Angelino Heights,0
8,3,Arcadia,71
9,3,Arleta,26
10,3,Artesia,0
11,3,Athens,7
12,3,Atwater Village,0
13,3,Avalon,0
14,3,Azusa,13
15,3,Baldwin Hills,63
16,3,Baldwin Park,2
17,3,Bassett,0
18,3,Bel Air,43
19,3,Bell,40
20,3,Bell Gardens,15
21,3,Bellflower,95
22,3,Beverly Crest,88
23,3,Beverly Hills,211
24,3,Beverlywood,100
25,3,Boyle Heights,105
26,3,Bradbury,0
27,3,Brentwood,371
28,3,Brookside,0
29,3,Burbank,109
30,3,Cadillac-Corning,0
31,3,Calabasas,72
32,3,Canoga Park,29
33,3,Canyon Country,3
34,3,Carson,242
35,3,Carthay,60
36,3,Castaic,28
37,3,Central,26
38,3,Century City,82
39,3,Century Palms/Cove,46
40,3,Cerritos,16
41,3,Chatsworth,40
42,3,Cheviot Hills,11
43,3,Chinatown,0
44,3,City,2
45,3,Claremont,9
46,3,Cloverdale/Cochran,0
47,3,Commerce,0
48,3,Compton,49
49,3,Country Club Park,5
50,3,Covina,42
51,3,Crenshaw District,4
52,3,Crestview,93
53,3,Cudahy,0
54,3,Culver City,101
55,3,Del Rey,84
56,3,Diamond Bar,35
57,3,Downey,121
58,3,Downtown,44
59,3,Duarte,5
60,3,Eagle Rock,53
61,3,East Hollywood,43
62,3,East Los Angeles,65
63,3,Echo Park,29
64,3,El Monte,5
65,3,El Segundo,11
66,3,El Sereno,10
67,3,Elysian Park,0
68,3,Elysian Valley,0
69,3,Encino,221
70,3,Exposition,0
71,3,Exposition Park,26
72,3,Faircrest Heights,0
73,3,Figueroa Park Square,0
74,3,Florence,13
75,3,Florence-Firestone,31
76,3,Gardena,50
77,3,Glassell Park,40
78,3,Glendale,331
79,3,Glendora,35
80,3,Gramercy Place,0
81,3,Granada Hills,93
82,3,Green Meadows,7
83,3,Hacienda Heights,15
84,3,Hancock Park,149
85,3,Harbor City,14
86,3,Harbor Gateway,33
87,3,Harbor Pines,0
88,3,Harvard Heights,4
89,3,Harvard Park,12
90,3,Hawaiian Gardens,0
91,3,Hawthorne,114
92,3,Hermosa Beach,22
93,3,Hidden Hills,0
94,3,Highland Park,43
95,3,Historic Filipinotown,0
96,3,Hollywood,347
97,3,Hollywood Hills,176
98,3,Huntington Park,19
99,3,Hyde Park,25
100,3,Industry,0
101,3,Inglewood,141
102,3,Irwindale,0
103,3,Jefferson Park,0
104,3,Koreatown,47
105,3,La Canada Flintridge,50
106,3,La Habra Heights,0
107,3,La Mirada,68
108,3,La Puente,14
109,3,La Verne,18
110,3,Lafayette Square,0
111,3,Lake Balboa,51
112,3,Lake Los Angeles,0
113,3,Lakeview Terrace,5
114,3,Lakewood,78
115,3,Lancaster,173
116,3,Lawndale,30
117,3,Leimert Park,2
118,3,Lincoln Heights,13
119,3,Little Armenia,0
120,3,Little Bangladesh,19
121,3,Little Tokyo,0
122,3,Lomita,63
123,3,Longwood,0
124,3,Los Feliz,56
125,3,Lynwood,89
126,3,Malibu,0
127,3,Manchester Square,0
128,3,Mandeville Canyon,0
129,3,Manhattan Beach,237
130,3,Mar Vista,92
131,3,Marina Peninsula,0
132,3,Maywood,19
133,3,Melrose,546
134,3,Mid-city,46
135,3,Miracle Mile,85
136,3,Mission Hills,22
137,3,Monrovia,23
138,3,Montebello,20
139,3,Monterey Park,53
140,3,Mt. Washington,0
141,3,North Hills,26
142,3,North Hollywood,213
143,3,Northridge,56
144,3,Norwalk,81
145,3,Pacific Palisades,139
146,3,Pacoima,18
147,3,Palisades Highlands,0
148,3,Palmdale,47
149,3,Palms,123
150,3,Palos Verdes Estates,68
151,3,Panorama City,33
152,3,Paramount,43
153,3,Park La Brea,42
154,3,Park LaBrea,3
155,3,Pasadena,0
156,3,Pico,8
157,3,Pico Rivera,31
158,3,Pico-Union,25
159,3,Playa Del Rey,0
160,3,Playa Vista,58
161,3,Pomona,31
162,3,Porter Ranch,29
163,3,Rancho Palos Verdes,62
