,week,region,cases
0,12,Alhambra,15
1,12,Altadena,9
2,12,Arcadia,12
3,12,Athens,1
4,12,Baldwin Hills,9
5,12,Bellflower,1
6,12,Beverly Hills,30
7,12,Beverlywood,15
8,12,Boyle Heights,35
9,12,Brentwood,73
10,12,Burbank,5
11,12,Calabasas,5
12,12,Canoga Park,1
13,12,Carson,14
14,12,Castaic,4
15,12,Century City,12
16,12,Century Palms/Cove,4
17,12,City,2
18,12,Covina,4
19,12,Crestview,11
20,12,Culver City,19
21,12,Del Rey,4
22,12,Diamond Bar,14
23,12,Eagle Rock,6
24,12,East Hollywood,1
25,12,East Los Angeles,5
26,12,Echo Park,4
27,12,El Segundo,4
28,12,Encino,30
29,12,Gardena,7
30,12,Glendale,28
31,12,Glendora,2
32,12,Granada Hills,25
33,12,Hancock Park,13
34,12,Hawthorne,7
35,12,Hollywood,42
36,12,Hollywood Hills,15
37,12,Inglewood,13
38,12,La Canada Flintridge,2
39,12,La Mirada,20
40,12,La Verne,3
41,12,Lake Balboa,3
42,12,Lakewood,3
43,12,Lancaster,11
44,12,Lawndale,4
45,12,Lomita,25
46,12,Los Feliz,1
47,12,Lynwood,7
48,12,Manhattan Beach,36
49,12,Mar Vista,15
50,12,Melrose,63
51,12,Miracle Mile,6
52,12,Montebello,1
53,12,Monterey Park,13
54,12,North Hollywood,21
55,12,Northridge,7
56,12,Pacific Palisades,25
57,12,Palms,4
58,12,Paramount,1
59,12,Park La Brea,12
60,12,Park LaBrea,3
61,12,Playa Vista,6
62,12,Rancho Palos Verdes,1
63,12,Redondo Beach,7
64,12,Reseda,10
65,12,San Dimas,7
66,12,San Fernando,3
67,12,San Pedro,7
68,12,Santa Clarita,19
69,12,Santa Monica,23
70,12,Santa Monica Mountains,9
71,12,Sherman Oaks,33
72,12,Silverlake,9
73,12,South El Monte,4
74,12,South Gate,1
75,12,South Whittier,3
76,12,Stevenson Ranch,4
77,12,Studio City,14
78,12,Sun Valley,2
79,12,Sunland,2
80,12,Sylmar,5
81,12,Tarzana,41
82,12,Temple,1
83,12,Torrance,14
84,12,Tujunga,4
85,12,University Park,4
86,12,Valley Glen,16
87,12,Van Nuys,6
88,12,Venice,28
89,12,Vermont Knolls,4
90,12,Vermont Vista,2
91,12,Vernon Central,2
92,12,Walnut,6
93,12,West Adams,8
94,12,West Covina,2
95,12,West Hills,23
96,12,West Hollywood,88
97,12,West Los Angeles,12
98,12,West Vernon,9
99,12,Westchester,17
100,12,Westlake,2
101,12,Westwood,17
102,12,Whittier,8
103,12,Winnetka,3
104,12,Woodland Hills,22
105,13,Acton,0
106,13,Adams-Normandie,0
107,13,Agoura Hills,36
108,13,Alhambra,51
109,13,Alsace,0
110,13,Altadena,50
111,13,Angeles National Forest,0
112,13,Angelino Heights,0
113,13,Arcadia,40
114,13,Arleta,14
115,13,Artesia,0
116,13,Athens,6
117,13,Atwater Village,0
118,13,Avalon,0
119,13,Azusa,5
120,13,Baldwin Hills,34
121,13,Baldwin Park,0
122,13,Bassett,0
123,13,Bel Air,23
124,13,Bell,17
125,13,Bell Gardens,9
126,13,Bellflower,57
127,13,Beverly Crest,49
128,13,Beverly Hills,118
129,13,Beverlywood,61
130,13,Boyle Heights,48
131,13,Bradbury,0
132,13,Brentwood,228
133,13,Brookside,0
134,13,Burbank,56
135,13,Cadillac-Corning,0
136,13,Calabasas,43
137,13,Canoga Park,17
138,13,Canyon Country,3
139,13,Carson,137
140,13,Carthay,29
141,13,Castaic,18
142,13,Central,9
143,13,Century City,48
144,13,Century Palms/Cove,24
145,13,Cerritos,5
146,13,Chatsworth,16
147,13,Cheviot Hills,0
148,13,Chinatown,0
149,13,Claremont,6
150,13,Cloverdale/Cochran,0
151,13,Commerce,0
152,13,Compton,20
153,13,Country Club Park,0
154,13,Covina,23
155,13,Crenshaw District,4
156,13,Crestview,56
157,13,Cudahy,0
158,13,Culver City,48
159,13,Del Rey,50
160,13,Diamond Bar,15
161,13,Downey,65
162,13,Downtown,19
163,13,Duarte,5
164,13,Eagle Rock,29
165,13,East Hollywood,19
166,13,East Los Angeles,35
167,13,Echo Park,15
168,13,El Monte,0
169,13,El Segundo,7
170,13,El Sereno,4
171,13,Elysian Park,0
172,13,Elysian Valley,0
173,13,Encino,132
174,13,Exposition,0
175,13,Exposition Park,15
176,13,Faircrest Heights,0
177,13,Figueroa Park Square,0
178,13,Florence,13
179,13,Florence-Firestone,12
180,13,Gardena,24
181,13,Glassell Park,21
182,13,Glendale,165
183,13,Glendora,20
184,13,Gramercy Place,0
185,13,Granada Hills,49
186,13,Green Meadows,0
187,13,Hacienda Heights,8
188,13,Hancock Park,80
189,13,Harbor City,5
190,13,Harbor Gateway,18
191,13,Harbor Pines,0
192,13,Harvard Heights,4
193,13,Harvard Park,5
194,13,Hawaiian Gardens,0
195,13,Hawthorne,60
196,13,Hermosa Beach,6
197,13,Hidden Hills,0
198,13,Highland Park,25
199,13,Historic Filipinotown,0
200,13,Hollywood,195
201,13,Hollywood Hills,106
202,13,Huntington Park,4
203,13,Hyde Park,12
204,13,Industry,0
205,13,Inglewood,71
206,13,Irwindale,0
207,13,Jefferson Park,0
208,13,Koreatown,20
209,13,La Canada Flintridge,32
210,13,La Habra Heights,0
211,13,La Mirada,33
212,13,La Puente,8
213,13,La Verne,11
214,13,Lafayette Square,0
215,13,Lake Balboa,26
216,13,Lake Los Angeles,0
217,13,Lakeview Terrace,0
218,13,Lakewood,46
219,13,Lancaster,104
220,13,Lawndale,16
221,13,Leimert Park,2
222,13,Lincoln Heights,7
223,13,Little Armenia,0
224,13,Little Bangladesh,9
225,13,Little Tokyo,0
226,13,Lomita,38
227,13,Longwood,0
228,13,Los Feliz,31
229,13,Lynwood,48
230,13,Malibu,0
231,13,Manchester Square,0
232,13,Mandeville Canyon,0
233,13,Manhattan Beach,130
234,13,Mar Vista,51
235,13,Marina Peninsula,0
236,13,Maywood,8
237,13,Melrose,301
238,13,Mid-city,25
239,13,Miracle Mile,57
240,13,Mission Hills,10
241,13,Monrovia,14
242,13,Montebello,10
243,13,Monterey Park,28
244,13,Mt. Washington,0
245,13,North Hills,10
246,13,North Hollywood,119
247,13,Northridge,32
248,13,Norwalk,45
249,13,Pacific Palisades,74
250,13,Pacoima,9
251,13,Palisades Highlands,0
252,13,Palmdale,24
253,13,Palms,73
254,13,Palos Verdes Estates,40
255,13,Panorama City,19
256,13,Paramount,27
257,13,Park La Brea,30
258,13,Pasadena,0
259,13,Pico,8
260,13,Pico Rivera,16
261,13,Pico-Union,13
262,13,Playa Del Rey,0
263,13,Playa Vista,35
264,13,Pomona,16
265,13,Porter Ranch,15
266,13,Rancho Palos Verdes,38
267,13,Rancho Park,0
268,13,Redondo Beach,117
269,13,Regent Square,0
270,13,Reseda,52
271,13,Reseda Ranch,0
272,13,Reynier Village,0
273,13,Rolling Hills,0
274,13,Rolling Hills Estates,0
275,13,Rosemead,3
276,13,Rowland Heights,5
277,13,San Dimas,10
278,13,San Fernando,9
279,13,San Gabriel,22
280,13,San Marino,0
281,13,San Pedro,40
282,13,Santa Clarita,134
283,13,Santa Fe Springs,0
284,13,Santa Monica,174
285,13,Santa Monica Mountains,11
286,13,Shadow Hills,0
287,13,Sherman Oaks,120
288,13,Sierra Madre,0
289,13,Signal Hill,0
290,13,Silverlake,68
291,13,South Carthay,16
292,13,South El Monte,9
293,13,South Gate,35
294,13,South Park,16
295,13,South Pasadena,8
296,13,South Whittier,24
297,13,St Elmo Village,0
298,13,Stevenson Ranch,9
299,13,Studio City,66
300,13,Sun Valley,22
301,13,Sunland,4
302,13,Sycamore Square,0
303,13,Sylmar,32
304,13,Tarzana,99
305,13,Temple,11
306,13,Temple City,3
307,13,Temple-Beaudry,15
308,13,Thai Town,0
309,13,Toluca Lake,0
310,13,Toluca Terrace,0
311,13,Toluca Woods,0
312,13,Torrance,119
313,13,Tujunga,12
314,13,University Hills,0
315,13,University Park,26
316,13,Valinda,2
317,13,Valley Glen,48
318,13,Valley Village,45
319,13,Van Nuys,33
320,13,Venice,76
321,13,Vermont Knolls,6
322,13,Vermont Square,0
323,13,Vermont Vista,22
324,13,Vernon,0
325,13,Vernon Central,13
326,13,Victoria Park,0
327,13,View Heights,0
328,13,Walnut,10
329,13,Watts,6
330,13,Wellington Square,0
331,13,West Adams,34
332,13,West Covina,24
333,13,West Hills,32
334,13,West Hollywood,264
335,13,West Los Angeles,57
336,13,West Vernon,39
337,13,West Whittier/Los Nietos,0
338,13,Westchester,55
339,13,Westlake,12
340,13,Westlake Village,0
341,13,Westwood,87
342,13,Whittier,29
343,13,Wholesale District,42
344,13,Willowbrook,6
345,13,Wilmington,17
346,13,Wilshire Center,19
347,13,Winnetka,31
348,13,Woodland Hills,90
349,14,Acton,0
350,14,Adams-Normandie,57
351,14,Agoura Hills,95
352,14,Alhambra,109
353,14,Alsace,0
354,14,Altadena,111
