name,month,Number of incoming visits,Number of outgoing visits (no regI to regI),Number of outgoing visits (with regI to regI),to Acton,to Adams-Normandie,to Agoura Hills,to Agua Dulce,to Alhambra,to Alondra Park,to Altadena,to Angeles Crest,to Arcadia,to Arleta,to Arlington Heights,to Artesia,to Athens,to Atwater Village,to Avalon,to Avocado Heights,to Azusa,to Baldwin Hills/Crenshaw,to Baldwin Park,to Bel-Air,to Bellflower,to Bell Gardens,to Bell,to Beverly Crest,to Beverly Grove,to Beverly Hills,to Beverlywood,to Boyle Heights,to Bradbury,to Brentwood,to Broadway-Manchester,to Burbank,to Calabasas,to Canoga Park,to Carson,to Carthay,to Castaic Canyons,to Castaic,to Central-Alameda,to Century City,to Cerritos,to Charter Oak,to Chatsworth,to Chatsworth Reservoir,to Chesterfield Square,to Cheviot Hills,to Chinatown,to Citrus,to Claremont,to Commerce,to Compton,to Covina,to Cudahy,to Culver City,to Cypress Park,to Del Aire,to Del Rey,to Desert View Highlands,to Diamond Bar,to Downey,to Downtown,to Duarte,to Eagle Rock,to East Compton,to East Hollywood,to East La Mirada,to East Los Angeles,to East Pasadena,to East San Gabriel,to Echo Park,to Elizabeth Lake,to El Monte,to El Segundo,to El Sereno,to Elysian Park,to Elysian Valley,to Encino,to Exposition Park,to Fairfax,to Florence-Firestone,to Florence,to Gardena,to Glassell Park,to Glendale,to Glendora,to Gramercy Park,to Granada Hills,to Green Meadows,to Green Valley,to Griffith Park,to Hacienda Heights,to Hancock Park,to Hansen Dam,to Harbor City,to Harbor Gateway,to Harvard Heights,to Harvard Park,to Hasley Canyon,to Hawaiian Gardens,to Hawthorne,to Hermosa Beach,to Hidden Hills,to Highland Park,to Historic South-Central,to Hollywood Hills,to Hollywood Hills West,to Hollywood,to Huntington Park,to Hyde Park,to Industry,to Inglewood,to Irwindale,to Jefferson Park,to Koreatown,to La Canada Flintridge,to La Crescenta-Montrose,to Ladera Heights,to La Habra Heights,to Lake Balboa,to Lake Hughes,to Lake Los Angeles,to Lake View Terrace,to Lakewood,to La Mirada,to Lancaster,to La Puente,to Larchmont,to La Verne,to Lawndale,to Leimert Park,to Lennox,to Leona Valley,to Lincoln Heights,to Littlerock,to Lomita,to Long Beach,to Lopez/Kagel Canyons,to Los Feliz,to Lynwood,to Malibu,to Manchester Square,to Manhattan Beach,to Marina del Rey,to Mar Vista,to Mayflower Village,to Maywood,to Mid-City,to Mid-Wilshire,to Mission Hills,to Monrovia,to Montebello,to Montecito Heights,to Monterey Park,to Mount Washington,to Northeast Antelope Valley,to North El Monte,to North Hills,to North Hollywood,to Northridge,to Northwest Antelope Valley,to Northwest Palmdale,to North Whittier,to Norwalk,to Pacific Palisades,to Pacoima,to Palmdale,to Palms,to Palos Verdes Estates,to Panorama City,to Paramount,to Pasadena,to Pico Rivera,to Pico-Robertson,to Pico-Union,to Playa del Rey,to Playa Vista,to Pomona,to Porter Ranch,to Quartz Hill,to Ramona,to Rancho Dominguez,to Rancho Palos Verdes,to Rancho Park,to Redondo Beach,to Reseda,to Ridge Route,to Rolling Hills Estates,to Rolling Hills,to Rosemead,to Rowland Heights,to San Dimas,to San Fernando,to San Gabriel,to San Marino,to San Pasqual,to San Pedro,to Santa Clarita,to Santa Fe Springs,to Santa Monica,to Sawtelle,to Sepulveda Basin,to Shadow Hills,to Sherman Oaks,to Sierra Madre,to Signal Hill,to Silver Lake,to South Diamond Bar,to Southeast Antelope Valley,to South El Monte,to South Gate,to South Park,to South Pasadena,to South San Gabriel,to South San Jose Hills,to South Whittier,to Stevenson Ranch,to Studio City,to Sunland,to Sun Valley,to Sun Village,to Sylmar,to Tarzana,to Temple City,to Toluca Lake,to Topanga,to Torrance,to Tujunga Canyons,to Tujunga,to Unincorporated Catalina Island,to Unincorporated Santa Monica Mountains,to Unincorporated Santa Susana Mountains,to Universal City,to University Park,to Valinda,to Valley Glen,to Valley Village,to Val Verde,to Van Nuys,to Venice,to Vermont Knolls,to Vermont-Slauson,to Vermont Square,to Vermont Vista,to Vernon,to Veterans Administration,to View Park-Windsor Hills,to Vincent,to Walnut,to Walnut Park,to Watts,to West Adams,to West Carson,to Westchester,to West Compton,to West Covina,to West Hills,to West Hollywood,to Westlake,to Westlake Village,to West Los Angeles,to Westmont,to West Puente Valley,to West San Dimas,to West Whittier-Los Nietos,to Westwood,to Whittier,to Whittier Narrows,to Willowbrook,to Wilmington,to Windsor Square,to Winnetka,to Woodland Hills
Agoura Hills,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arleta,3,396,16377,16407,0,0,0,0,0,0,0,0,0,30,0,0,0,12,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,116,0,0,0,0,10,0,0,0,0,0,0,142,0,4,0,0,0,4,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,12,8,108,0,4,0,0,0,0,12,0,0,0,0,160,0,0,150,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,791,469,1209,0,0,0,0,0,2589,0,0,0,2488,0,0,0,0,4,0,0,0,161,0,0,0,0,0,0,214,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,4,36,269,0,0,20,0,0,0,0,0,0,0,0,0,0,112,40,1172,0,463,118,0,40,0,0,95,36,0,0,0,8,0,0,479,48,0,1591,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,237
Arlington Heights,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atwater Village,3,18134,1334,2116,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,137,0,131,0,0,0,0,39,0,0,0,0,0,16,8,0,16,0,0,0,193,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,12,0,102,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,8,24,4,0,0,0,0,0,8,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,179,0,0,0,0,0,0,0,0,0,0,20,0,4,0,4,16,0,16,0,0,20,0,0,0,0,0,0,0,31,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8
Baldwin Hills/Crenshaw,3,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beverly Crest,3,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beverly Grove,3,13311,781,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,339,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,16,0,0,0,0,10,0,0,0,0,0,0,8,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,276,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,16,0,0,0,0,0,0,0,0,0,0,41,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Beverly Hills,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beverlywood,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyle Heights,3,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
