name,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Households:,Households: Family Households,Households: Family Households: Married-Couple Family,Households: Family Households: Other Family,"Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present",Households: Nonfamily Households,Households: Nonfamily Households: Male Householder,Households: Nonfamily Households: Female Householder,Population 16 Years and Over:,Population 16 Years and Over: in Labor Force,Population 16 Years and Over: in Labor Force: in Armed Forces,Population 16 Years and Over: in Labor Force: Civilian,Population 16 Years and Over: in Labor Force: Civilian: Employed,Population 16 Years and Over: in Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,In Labor Force 16 Years and Over:,In Labor Force 16 Years and Over: in Armed Forces,In Labor Force 16 Years and Over: Civilian,Employed Civilian Population 16 Years and Over:,"Employed Civilian Population 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining",Employed Civilian Population 16 Years and Over: Construction,Employed Civilian Population 16 Years and Over: Manufacturing,Employed Civilian Population 16 Years and Over: Wholesale Trade,Employed Civilian Population 16 Years and Over: Retail Trade,"Employed Civilian Population 16 Years and Over: Transportation and Warehousing, and Utilities",Employed Civilian Population 16 Years and Over: Information,"Employed Civilian Population 16 Years and Over: Finance and Insurance, and Real Estate and Rental  and Leasing","Employed Civilian Population 16 Years and Over: Professional, Scientific, and Management, and  Administrative and Waste Management Services","Employed Civilian Population 16 Years and Over: Educational Services, and Health Care and Social  Assistance","Employed Civilian Population 16 Years and Over: Arts, Entertainment, and Recreation, and  Accommodation and Food Services","Employed Civilian Population 16 Years and Over: Other Services, Except Public Administration",Employed Civilian Population 16 Years and Over: Public Administration,Employed Civilian Population 16 Years and Over1:,Employed Civilian Population 16 Years and Over1: Private Sector,Employed Civilian Population 16 Years and Over1: Public Sector,Employed Civilian Population 16 Years and Over1: Self-Employed (Incorporated and Not Incorporated),Employed Civilian Population 16 Years and Over1: Private Non-Profit,Employed Civilian Population 16 Years and Over1: Unpaid Family Workers,Households1:,Households1: with Earnings,Households1: No Earnings,Households2:,Households2: with Wage or Salary Income,Households2: No Wage or Salary Income,Households3:,Households3: with Self-Employment Income,Households3: No Self-Employment Income,Households4:,"Households4: with Interest, Dividends, or Net Rental Income","Households4: No Interest, Dividends, or Net Rental Income",Households5:,Households5: with Social Security Income,Households5: No Social Security Income,Households6:,Households6: with Supplemental Security Income (Ssi),Households6: No Supplemental Security Income (Ssi),Households7:,Households7: with Public Assistance Income,Households7: No Public Assistance Income,Households8:,Households8: with Retirement Income,Households8: No Retirement Income,Households9:,Households9: with Other Types of Income,Households9: No Other Types of Income,Families:,Families: Income Below Poverty Level,Families: Income Below Poverty Level: Married Couple Family: with Related Child Living  Bellow Poverty Level,Families: Income Below Poverty Level: Married Couple Family: No Related Children Under 18 Years,"Families: Income Below Poverty Level: Male Householder, No Wife Present","Families: Income Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present","Families: Income Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years",Families: Income At or Above Poverty Level,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty,Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Population Age 65 and Over for Whom Poverty  Status Is Determined: Living in Poverty,Population Age 65 and Over for Whom Poverty  Status Is Determined: At or Above Poverty Level,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under .50,Population for Whom Poverty Status Is Determined: .50 to .74,Population for Whom Poverty Status Is Determined: .75 to .99,Population for Whom Poverty Status Is Determined: 1.00 to 1.49,Population for Whom Poverty Status Is Determined: 1.50 to 1.99,Population for Whom Poverty Status Is Determined: 2.00 and Over,Population for Whom Poverty Status Is Determined1:,Population for Whom Poverty Status Is Determined1: Under 1.00 (Doing Poorly),Population for Whom Poverty Status Is Determined1: 1.00 to 1.99 (Struggling),Population for Whom Poverty Status Is Determined1: Under 2.00 (Poor or Struggling),Population for Whom Poverty Status Is Determined1: 2.00 and Over (Doing Ok),White Alone Population for Whom Poverty Status Is  Determined:,White Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,White Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,Black or African American Alone Population for  Whom Poverty Status Is Determined:,Black or African American Alone Population for  Whom&nbsp; Poverty Status Is Determined: Income Below Poverty Level,Black or African American Alone Population for  Whom&nbsp; Poverty Status Is Determined: Income At or Above Poverty Level,American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined:,American Indian and Alaska Native Alone  Population For&nbsp; Whom Poverty Status Is Determined: Income Below Poverty Level,American Indian and Alaska Native Alone  Population For&nbsp; Whom Poverty Status Is Determined: Income At or Above Poverty Level,Asian Alone Population for Whom Poverty Status Is  Determined:,Asian Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,Asian Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined:,Native Hawaiian and Other Pacific Islander Alone &nbsp; Population for Whom Poverty Status Is Determined: Income Below Poverty Level,Native Hawaiian and Other Pacific Islander Alone &nbsp; Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Some Other Race Alone Population for Whom Poverty  Status Is Determined:,Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,Two or More Races Population for Whom Poverty  Status Is Determined:,Two or More Races Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Two or More Races Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,Hispanic or Latino Population for Whom Poverty  Status Is Determined:,Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,"White Alone, Not Hispanic or Latino Population  for Whom Poverty Status Is Determined:","White Alone, Not Hispanic or Latino Population  for Whom&nbsp; Poverty Status Is Determined: Income Below Poverty Level","White Alone, Not Hispanic or Latino Population  for Whom&nbsp; Poverty Status Is Determined: Income At or Above Poverty Level",Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home,Workers 16 Years and Over in Households:,Workers 16 Years and Over in Households: Householder Lived in Renter-Occupied Housing Units,"Workers 16 Years and Over in Households: Householder Lived in Renter-Occupied Housing Units: Car, Truck, or Van - Drove Alone","Workers 16 Years and Over in Households: Householder Lived in Renter-Occupied Housing Units: Car, Truck, or Van - Carpooled",Workers 16 Years and Over in Households: Householder Lived in Renter-Occupied Housing Units: Public Transportation (Excluding Taxicab),Workers 16 Years and Over in Households: Householder Lived in Renter-Occupied Housing Units: Walked,"Workers 16 Years and Over in Households: Householder Lived in Renter-Occupied Housing Units: Taxicab, Motorcycle, Bicycle, or Other Means",Workers 16 Years and Over in Households: Householder Lived in Renter-Occupied Housing Units: Worked At Home,Workers 16 Years and Over2:,Workers 16 Years and Over2: Did Not Work At Home,Workers 16 Years and Over2: Did Not Work At Home: Less than 10 Minutes,Workers 16 Years and Over2: Did Not Work At Home: 10 to 19 Minutes,Workers 16 Years and Over2: Did Not Work At Home: 20 to 29 Minutes,Workers 16 Years and Over2: Did Not Work At Home: 30 to 39 Minutes,Workers 16 Years and Over2: Did Not Work At Home: 40 to 59 Minutes,Workers 16 Years and Over2: Did Not Work At Home: 60 to 89 Minutes,Workers 16 Years and Over2: Did Not Work At Home: 90 or More Minutes,Workers 16 Years and Over2: Worked At Home,Total:,Total: No Health Insurance Coverage,Total: with Health Insurance Coverage,Total: with Health Insurance Coverage: Public Health Coverage,Total: with Health Insurance Coverage: Private Health Insurance,Population Under 18:,Population Under 18: No Health Insurance Coverage,Population Under 18: with Health Insurance Coverage,Population Under 18: with Health Insurance Coverage: Public Health Coverage,Population Under 18: with Health Insurance Coverage: Private Health Insurance,Population 18 to 24:,Population 18 to 24: No Health Insurance Coverage,Population 18 to 24: with Health Insurance Coverage,Population 18 to 24: with Health Insurance Coverage: Public Health Coverage,Population 18 to 24: with Health Insurance Coverage: Private Health Insurance,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: with Health Insurance Coverage,Population 25 to 34: with Health Insurance Coverage: Public Health Coverage,Population 25 to 34: with Health Insurance Coverage: Private Health Insurance,Population 35 to 64:,Population 35 to 64: No Health Insurance Coverage,Population 35 to 64: with Health Insurance Coverage,Population 35 to 64: with Health Insurance Coverage: Public Health Coverage,Population 35 to 64: with Health Insurance Coverage: Private Health Insurance,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: with Health Insurance Coverage,Population 65 or Older: with Health Insurance Coverage: Public Health Coverage,Population 65 or Older: with Health Insurance Coverage: Private Health Insurance,Own Children under 18 Years:,Own Children under 18 Years: Children Living with Single Parents,Households10:,Households10: 1-Person Household,Households10: 2-Person Household,Households10: 3-Person Household,Households10: 4-Person Household,Households10: 5-Person Household,Households10: 6-Person Household,Households10: 7-or-More Person Household
Acton,67.69869,67.66483000000001,0.03386772,7613,382,261,384,308,635,736,782,1339,1568,886,297,35,2699,1981,1742,239,52,187,718,444,274,6446,3838,0,3838,3631,207,2608,3838,0,3838,3631,13,409,485,57,338,326,169,215,355,566,210,208,280,3631,2107,732,599,181,12,2699,2203,496,2699,2078,621,2699,523,2176,2699,717,1982,2699,864,1835,2699,54,2645,2699,9,2690,2699,716,1983,2699,288,2411,1981,71,0,45,0,0,0,26,26,0,1910,1326,88,1238,4942,441,4501,1218,135,1083,7486,309,221,134,270,471,6081,7486,664,741,1405,6081,6534,590,5944,102,24,78,16,8,8,203,7,196,0,0,0,471,24,447,160,11,149,1411,121,1290,5634,493,5141,3596,3239,2840,399,8,0,0,0,9,340,3591,256,190,19,0,0,0,47,3596,3256,91,228,428,453,601,1041,414,340,7495,374,7121,1942,6098,1491,44,1447,208,1320,515,45,470,47,433,659,23,636,108,528,3612,262,3350,453,2992,1218,0,1218,1126,825,1129,262,2699,529,1080,474,372,170,35,39
Adams-Normandie,0.7782893,0.7782893,0.0,18237,966,1052,1138,664,3337,2923,2244,2087,2163,990,475,198,5420,3465,1720,1745,444,1301,1955,1034,921,14820,9380,0,9380,8202,1178,5440,9380,0,9380,8202,30,633,586,140,909,563,183,341,847,1909,977,837,247,8202,5886,690,1082,544,0,5420,4321,1099,5420,3934,1486,5420,1007,4413,5420,325,5095,5420,1012,4408,5420,436,4984,5420,257,5163,5420,456,4964,5420,439,4981,3465,784,164,36,105,91,14,479,392,87,2681,3802,1371,2431,12720,3966,8754,1663,410,1253,18185,2946,1217,1584,2033,1774,8631,18185,5747,3807,9554,8631,4450,1194,3256,3664,1327,2337,182,69,113,1396,806,590,16,11,5,8173,2233,5940,304,107,197,11730,3032,8698,1199,501,698,7966,5727,4975,752,1226,37,308,314,33,321,7950,5674,3399,352,1021,282,366,254,7966,7645,426,1273,1434,1844,1288,1035,345,321,18237,3049,15188,8361,7329,4182,275,3907,2754,1208,3366,559,2807,900,1945,2532,573,1959,814,1173,6494,1633,4861,2359,2592,1663,9,1654,1534,411,3219,1699,5420,1414,1022,1095,951,429,285,224
Agoura Hills,5.430867999999999,5.409367,0.02150087,18943,749,1045,1385,1087,1288,1851,2529,3365,2914,1783,655,292,6764,5079,4260,819,335,484,1685,621,1064,15375,10221,0,10221,9848,373,5154,10221,0,10221,9848,40,376,1147,350,788,265,533,953,2031,1499,1076,587,203,9848,6681,873,1953,341,0,6764,5842,922,6764,5520,1244,6764,1398,5366,6764,2815,3949,6764,1643,5121,6764,198,6566,6764,47,6717,6764,1013,5751,6764,641,6123,5079,196,0,54,13,13,0,129,83,46,4883,4266,205,4061,11931,537,11394,2657,193,2464,18854,436,368,131,506,756,16657,18854,935,1262,2197,16657,15557,766,14791,474,77,397,36,0,36,1485,0,1485,0,0,0,498,50,448,804,42,762,2049,135,1914,14088,681,13407,9528,7694,7175,519,31,106,83,101,277,1236,9528,2306,1635,159,0,59,120,333,9528,8292,1322,2339,1169,1148,1221,723,370,1236,18854,694,18160,3707,16575,4441,57,4384,365,4118,1349,86,1263,111,1188,1615,145,1470,110,1360,8792,406,8386,539,8029,2657,0,2657,2582,1880,4109,647,6764,1449,1939,1433,1475,396,60,12
Agua Dulce,31.8651,31.854409999999998,0.01068962,4074,236,141,165,180,346,518,316,637,825,515,172,23,1300,1039,942,97,43,54,261,175,86,3489,2034,11,2023,1948,75,1455,2034,11,2023,1948,57,319,232,31,149,84,118,57,216,311,177,116,81,1948,1146,244,466,92,0,1300,1036,264,1300,932,368,1300,331,969,1300,456,844,1300,446,854,1300,37,1263,1300,0,1300,1300,279,1021,1300,116,1184,1039,59,11,23,0,0,0,25,25,0,980,709,76,633,2641,241,2400,710,41,669,4060,144,100,114,165,95,3442,4060,358,260,618,3442,3598,299,3299,0,0,0,20,0,20,104,26,78,0,0,0,218,11,207,120,22,98,704,35,669,3164,287,2877,1902,1651,1432,219,0,21,0,0,19,211,1902,106,98,8,0,0,0,0,1902,1691,52,57,244,434,442,339,123,211,4049,189,3860,1154,3193,745,0,745,227,579,388,0,388,72,316,439,83,356,25,356,1767,106,1661,218,1452,710,0,710,612,490,528,75,1300,221,465,222,190,86,47,69
Alhambra,7.631679400000001,7.631011500000001,0.000667957,84974,4306,3804,4019,2565,7265,13884,11611,12178,11020,7507,4326,2489,29427,20416,13676,6740,2079,4661,9011,3707,5304,72023,44165,58,44107,41917,2190,27858,44165,58,44107,41917,110,1768,3521,1395,3892,2364,1207,2951,5123,9975,5110,2582,1919,41917,27526,6907,4078,3315,91,29427,24057,5370,29427,23164,6263,29427,2913,26514,29427,4591,24836,29427,8348,21079,29427,2726,26701,29427,718,28709,29427,3277,26150,29427,1356,28071,20416,2305,694,763,218,108,110,630,396,234,18111,14487,2188,12299,55800,7270,48530,13904,2324,11580,84191,4982,2625,4175,10731,9267,52411,84191,11782,19998,31780,52411,18973,2120,16853,1730,244,1486,396,17,379,43194,7060,36134,283,25,258,17204,2141,15063,2411,175,2236,30331,3599,26732,7478,789,6689,41215,36659,32620,4039,1505,66,138,537,353,1957,41199,24950,19425,2386,1056,439,420,1224,41215,39258,1764,9167,7604,9866,6140,3927,790,1957,84338,6455,77883,33693,49879,15503,706,14797,6554,8836,7751,991,6760,1690,5180,12489,1616,10873,2587,8449,34691,2925,31766,9773,23066,13904,217,13687,13089,4348,12821,3164,29427,6912,8903,6270,4406,1917,651,368
Alondra Park,1.008736,0.9804447000000001,0.02829125,4914,119,246,341,212,464,555,532,663,783,581,262,156,1575,1243,935,308,67,241,332,116,216,4180,2652,0,2652,2436,216,1528,2652,0,2652,2436,13,69,365,108,294,119,57,173,293,504,168,170,103,2436,1620,398,210,208,0,1575,1271,304,1575,1241,334,1575,232,1343,1575,354,1221,1575,517,1058,1575,87,1488,1575,14,1561,1575,259,1316,1575,198,1377,1243,45,9,0,0,0,0,36,7,29,1198,904,36,868,2985,83,2902,953,80,873,4842,117,0,82,343,425,3875,4842,199,768,967,3875,2633,198,2435,151,0,151,16,0,16,1095,1,1094,32,0,32,602,0,602,313,0,313,1804,82,1722,1652,116,1536,2392,2164,1961,203,19,36,0,58,3,112,2384,605,491,50,8,31,25,0,2392,2280,161,541,473,378,311,320,96,112,4856,178,4678,1888,3343,988,10,978,435,607,497,60,437,91,346,452,42,410,30,380,1966,55,1911,462,1548,953,11,942,870,462,765,102,1575,251,534,280,283,186,16,25
Altadena,8.9752383,8.9591013,0.016137153,44389,2310,2305,2359,1651,3264,5452,5419,7415,6526,4064,2685,939,15182,10991,8214,2777,722,2055,4191,1776,2415,36872,24062,26,24036,22769,1267,12810,24062,26,24036,22769,34,967,1113,446,2004,934,1151,1460,3497,6438,2451,1280,994,22769,12906,3131,3574,3115,43,15182,12561,2621,15182,11643,3539,15182,2887,12295,15182,3973,11209,15182,4906,10276,15182,789,14393,15182,294,14888,15182,3051,12131,15182,1315,13867,10991,573,184,114,70,0,70,205,117,88,10418,8457,788,7669,28020,2301,25719,7585,526,7059,44062,1254,900,1461,3485,2175,34787,44062,3615,5660,9275,34787,23531,1344,22187,9588,981,8607,188,19,169,2957,221,2736,48,0,48,5569,936,4633,2181,114,2067,12354,1474,10880,17387,829,16558,22310,18872,17428,1444,891,117,187,419,382,1442,22259,6915,5335,430,342,199,220,389,22310,20868,1440,5923,4051,3149,3187,2184,934,1442,44097,2766,41331,15712,30981,9043,238,8805,3358,6174,3244,403,2841,746,2172,4924,844,4080,989,3276,19301,1208,18093,3421,15521,7585,73,7512,7198,3838,6772,1087,15182,3415,5183,2801,2085,1120,250,328
Angeles Crest,458.83821,457.2443,1.593908518,887,0,9,17,0,110,177,118,136,143,139,30,8,242,161,139,22,0,22,81,42,39,861,321,0,321,321,0,540,321,0,321,321,0,31,24,27,57,6,0,22,30,75,17,10,22,321,192,69,41,19,0,242,179,63,242,179,63,242,36,206,242,84,158,242,85,157,242,0,242,242,0,242,242,72,170,242,39,203,161,0,0,0,0,0,0,0,0,0,161,26,0,26,449,98,351,168,4,164,643,84,0,18,12,53,476,643,102,65,167,476,488,40,448,16,16,0,0,0,0,25,0,25,3,3,0,54,43,11,57,0,57,67,43,24,475,40,435,296,241,188,53,3,0,5,7,10,30,293,47,35,0,0,7,5,0,296,266,36,47,22,47,77,11,26,30,643,23,620,254,428,48,0,48,0,48,53,0,53,12,41,78,5,73,33,40,296,14,282,53,229,168,4,164,156,70,26,9,242,67,116,18,41,0,0,0
Arcadia,9.592505799999998,9.4450045,0.147500285,54898,2641,2976,4284,2509,3345,6174,7273,8341,7696,5396,2913,1350,18175,14267,10687,3580,801,2779,3908,1604,2304,44330,26790,11,26779,25497,1282,17540,26790,11,26779,25497,69,719,2256,1830,2010,1291,723,2692,3376,5887,2488,981,1175,25497,16190,3309,4215,1744,39,18175,14795,3380,18175,14120,4055,18175,2263,15912,18175,5340,12835,18175,5239,12936,18175,934,17241,18175,260,17915,18175,2631,15544,18175,1288,16887,14267,1107,281,172,85,43,42,569,352,217,13160,12281,1586,10695,32794,2758,30036,9507,785,8722,54582,2878,1058,1193,2821,3890,42742,54582,5129,6711,11840,42742,15882,1358,14524,764,112,652,167,0,167,33308,2957,30351,15,0,15,2759,447,2312,1687,255,1432,7057,1141,5916,11883,749,11134,24923,22283,20093,2190,661,17,114,278,63,1507,24912,10366,8451,739,371,167,130,508,24923,23416,1613,5370,4579,4631,3979,2244,1000,1507,54700,2363,52337,16015,40922,12995,252,12743,2995,10141,3243,334,2909,520,2447,5686,373,5313,705,4728,23269,1274,21995,2974,19638,9507,130,9377,8821,3968,11425,1915,18175,3202,5962,3468,3475,1259,408,401
Arleta,2.7258685999999996,2.6878229,0.038045737,32949,1779,1998,2057,1503,3771,5873,4148,4281,3826,2199,1080,434,7206,6144,4362,1782,815,967,1062,405,657,26637,17511,4,17507,16450,1057,9126,17511,4,17507,16450,157,1365,2089,432,2087,807,336,789,1991,3419,1480,1086,412,16450,11888,1815,1456,1248,43,7206,6354,852,7206,6114,1092,7206,1105,6101,7206,873,6333,7206,2114,5092,7206,822,6384,7206,303,6903,7206,883,6323,7206,740,6466,6144,499,231,43,90,75,15,135,92,43,5645,7161,1016,6145,21898,1964,19934,3713,466,3247,32772,797,1076,1573,2703,3929,22694,32772,3446,6632,10078,22694,18399,1601,16798,341,28,313,145,2,143,3215,405,2810,0,0,0,9827,1393,8434,845,17,828,26778,2764,24014,2213,258,1955,15914,14407,12369,2038,774,4,135,64,246,284,15897,2846,2014,332,352,0,129,19,15914,15630,778,3617,3380,3525,2244,1420,666,284,32938,4703,28235,13376,16832,7769,473,7296,4411,3337,4165,854,3311,1304,2075,5036,1230,3806,1091,2831,12255,2032,10223,3246,7376,3713,114,3599,3324,1213,4865,1054,7206,849,1108,1146,1144,1296,814,849
